States/UTs,Crime Head,2007
Andhra Pradesh,RAPE,1070
Arunachal Pradesh,RAPE,48
Assam,RAPE,1437
Bihar,RAPE,1555
Chhattisgarh,RAPE,982
Goa,RAPE,20
Gujarat,RAPE,316
Haryana,RAPE,488
Himachal Pradesh,RAPE,159
Jammu & Kashmir,RAPE,288
Jharkhand,RAPE,855
Karnataka,RAPE,436
Kerala,RAPE,512
Madhya Pradesh,RAPE,3010
Maharashtra,RAPE,1451
Manipur,RAPE,20
Meghalaya,RAPE,82
Mizoram,RAPE,83
Nagaland,RAPE,13
Odisha,RAPE,939
Punjab,RAPE,519
Rajasthan,RAPE,1238
Sikkim,RAPE,24
Tamil Nadu,RAPE,523
Tripura,RAPE,157
Uttar Pradesh,RAPE,1648
Uttarakhand,RAPE,117
West Bengal,RAPE,2106
A&N Islands,RAPE,3
Chandigarh,RAPE,22
D&N Haveli,RAPE,7
Daman & Diu,RAPE,1
Delhi UT,RAPE,598
Lakshadweep,RAPE,1
Puducherry,RAPE,9
All India,RAPE,20737
Andhra Pradesh,KIDNAPPING & ABDUCTION,1564
Arunachal Pradesh,KIDNAPPING & ABDUCTION,44
Assam,KIDNAPPING & ABDUCTION,1471
Bihar,KIDNAPPING & ABDUCTION,1260
Chhattisgarh,KIDNAPPING & ABDUCTION,181
Goa,KIDNAPPING & ABDUCTION,7
Gujarat,KIDNAPPING & ABDUCTION,1089
Haryana,KIDNAPPING & ABDUCTION,554
Himachal Pradesh,KIDNAPPING & ABDUCTION,150
Jammu & Kashmir,KIDNAPPING & ABDUCTION,707
Jharkhand,KIDNAPPING & ABDUCTION,534
Karnataka,KIDNAPPING & ABDUCTION,390
Kerala,KIDNAPPING & ABDUCTION,177
Madhya Pradesh,KIDNAPPING & ABDUCTION,701
Maharashtra,KIDNAPPING & ABDUCTION,967
Manipur,KIDNAPPING & ABDUCTION,83
Meghalaya,KIDNAPPING & ABDUCTION,22
Mizoram,KIDNAPPING & ABDUCTION,0
Nagaland,KIDNAPPING & ABDUCTION,6
Odisha,KIDNAPPING & ABDUCTION,660
Punjab,KIDNAPPING & ABDUCTION,545
Rajasthan,KIDNAPPING & ABDUCTION,1694
Sikkim,KIDNAPPING & ABDUCTION,9
Tamil Nadu,KIDNAPPING & ABDUCTION,1097
Tripura,KIDNAPPING & ABDUCTION,81
Uttar Pradesh,KIDNAPPING & ABDUCTION,3363
Uttarakhand,KIDNAPPING & ABDUCTION,227
West Bengal,KIDNAPPING & ABDUCTION,1590
A&N Islands,KIDNAPPING & ABDUCTION,9
Chandigarh,KIDNAPPING & ABDUCTION,46
D&N Haveli,KIDNAPPING & ABDUCTION,6
Daman & Diu,KIDNAPPING & ABDUCTION,1
Delhi UT,KIDNAPPING & ABDUCTION,1167
Lakshadweep,KIDNAPPING & ABDUCTION,0
Puducherry,KIDNAPPING & ABDUCTION,14
ALL INDIA K&A,KIDNAPPING & ABDUCTION,20416
Andhra Pradesh,DOWRY DEATH,613
Arunachal Pradesh,DOWRY DEATH,0
Assam,DOWRY DEATH,100
Bihar,DOWRY DEATH,1172
Chhattisgarh,DOWRY DEATH,100
Goa,DOWRY DEATH,2
Gujarat,DOWRY DEATH,42
Haryana,DOWRY DEATH,269
Himachal Pradesh,DOWRY DEATH,8
Jammu & Kashmir,DOWRY DEATH,9
Jharkhand,DOWRY DEATH,303
Karnataka,DOWRY DEATH,251
Kerala,DOWRY DEATH,27
Madhya Pradesh,DOWRY DEATH,742
Maharashtra,DOWRY DEATH,436
Manipur,DOWRY DEATH,0
Meghalaya,DOWRY DEATH,2
Mizoram,DOWRY DEATH,0
Nagaland,DOWRY DEATH,0
Odisha,DOWRY DEATH,461
Punjab,DOWRY DEATH,133
Rajasthan,DOWRY DEATH,439
Sikkim,DOWRY DEATH,0
Tamil Nadu,DOWRY DEATH,208
Tripura,DOWRY DEATH,36
Uttar Pradesh,DOWRY DEATH,2076
Uttarakhand,DOWRY DEATH,70
West Bengal,DOWRY DEATH,451
A&N Islands,DOWRY DEATH,1
Chandigarh,DOWRY DEATH,1
D&N Haveli,DOWRY DEATH,0
Daman & Diu,DOWRY DEATH,1
Delhi UT,DOWRY DEATH,138
Lakshadweep,DOWRY DEATH,0
Puducherry,DOWRY DEATH,2
ALL INDIA,DOWRY DEATH,8093
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,4406
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,72
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,789
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,853
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1549
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,20
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,822
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,417
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,322
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,986
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,342
