States/UTs,Crime Head,2003
Andhra Pradesh,RAPE,946
Arunachal Pradesh,RAPE,31
Assam,RAPE,1095
Bihar,RAPE,985
Chhattisgarh,RAPE,898
Goa,RAPE,31
Gujarat,RAPE,236
Haryana,RAPE,353
Himachal Pradesh,RAPE,126
Jammu & Kashmir,RAPE,211
Jharkhand,RAPE,712
Karnataka,RAPE,321
Kerala,RAPE,394
Madhya Pradesh,RAPE,2738
Maharashtra,RAPE,1268
Manipur,RAPE,18
Meghalaya,RAPE,40
Mizoram,RAPE,54
Nagaland,RAPE,14
Odisha,RAPE,725
Punjab,RAPE,380
Rajasthan,RAPE,1050
Sikkim,RAPE,10
Tamil Nadu,RAPE,557
Tripura,RAPE,114
Uttar Pradesh,RAPE,911
Uttarakhand,RAPE,107
West Bengal,RAPE,1002
A&N Islands,RAPE,2
Chandigarh,RAPE,18
D&N Haveli,RAPE,1
Daman & Diu,RAPE,5
Delhi UT,RAPE,490
Lakshadweep,RAPE,2
Puducherry,RAPE,2
All India,RAPE,15847
Andhra Pradesh,KIDNAPPING & ABDUCTION,931
Arunachal Pradesh,KIDNAPPING & ABDUCTION,51
Assam,KIDNAPPING & ABDUCTION,1351
Bihar,KIDNAPPING & ABDUCTION,674
Chhattisgarh,KIDNAPPING & ABDUCTION,149
Goa,KIDNAPPING & ABDUCTION,13
Gujarat,KIDNAPPING & ABDUCTION,859
Haryana,KIDNAPPING & ABDUCTION,271
Himachal Pradesh,KIDNAPPING & ABDUCTION,96
Jammu & Kashmir,KIDNAPPING & ABDUCTION,615
Jharkhand,KIDNAPPING & ABDUCTION,262
Karnataka,KIDNAPPING & ABDUCTION,244
Kerala,KIDNAPPING & ABDUCTION,102
Madhya Pradesh,KIDNAPPING & ABDUCTION,608
Maharashtra,KIDNAPPING & ABDUCTION,626
Manipur,KIDNAPPING & ABDUCTION,71
Meghalaya,KIDNAPPING & ABDUCTION,10
Mizoram,KIDNAPPING & ABDUCTION,2
Nagaland,KIDNAPPING & ABDUCTION,3
Odisha,KIDNAPPING & ABDUCTION,373
Punjab,KIDNAPPING & ABDUCTION,295
Rajasthan,KIDNAPPING & ABDUCTION,1750
Sikkim,KIDNAPPING & ABDUCTION,0
Tamil Nadu,KIDNAPPING & ABDUCTION,632
Tripura,KIDNAPPING & ABDUCTION,29
Uttar Pradesh,KIDNAPPING & ABDUCTION,1499
Uttarakhand,KIDNAPPING & ABDUCTION,134
West Bengal,KIDNAPPING & ABDUCTION,801
A&N Islands,KIDNAPPING & ABDUCTION,2
Chandigarh,KIDNAPPING & ABDUCTION,28
D&N Haveli,KIDNAPPING & ABDUCTION,4
Daman & Diu,KIDNAPPING & ABDUCTION,1
Delhi UT,KIDNAPPING & ABDUCTION,797
Lakshadweep,KIDNAPPING & ABDUCTION,0
Puducherry,KIDNAPPING & ABDUCTION,13
ALL INDIA K&A,KIDNAPPING & ABDUCTION,13296
Andhra Pradesh,DOWRY DEATH,466
Arunachal Pradesh,DOWRY DEATH,0
Assam,DOWRY DEATH,60
Bihar,DOWRY DEATH,909
Chhattisgarh,DOWRY DEATH,79
Goa,DOWRY DEATH,2
Gujarat,DOWRY DEATH,54
Haryana,DOWRY DEATH,222
Himachal Pradesh,DOWRY DEATH,6
Jammu & Kashmir,DOWRY DEATH,10
Jharkhand,DOWRY DEATH,262
Karnataka,DOWRY DEATH,194
Kerala,DOWRY DEATH,33
Madhya Pradesh,DOWRY DEATH,648
Maharashtra,DOWRY DEATH,368
Manipur,DOWRY DEATH,0
Meghalaya,DOWRY DEATH,0
Mizoram,DOWRY DEATH,0
Nagaland,DOWRY DEATH,0
Odisha,DOWRY DEATH,279
Punjab,DOWRY DEATH,110
Rajasthan,DOWRY DEATH,389
Sikkim,DOWRY DEATH,0
Tamil Nadu,DOWRY DEATH,220
Tripura,DOWRY DEATH,20
Uttar Pradesh,DOWRY DEATH,1322
Uttarakhand,DOWRY DEATH,93
West Bengal,DOWRY DEATH,329
A&N Islands,DOWRY DEATH,0
Chandigarh,DOWRY DEATH,1
D&N Haveli,DOWRY DEATH,0
Daman & Diu,DOWRY DEATH,1
Delhi UT,DOWRY DEATH,130
Lakshadweep,DOWRY DEATH,0
Puducherry,DOWRY DEATH,1
ALL INDIA,DOWRY DEATH,6208
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,4128
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,43
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,878
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,688
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1481
