States/UTs,Crime Head,2012
Andhra Pradesh,RAPE,1341
Arunachal Pradesh,RAPE,46
Assam,RAPE,1716
Bihar,RAPE,927
Chhattisgarh,RAPE,1034
Goa,RAPE,55
Gujarat,RAPE,473
Haryana,RAPE,668
Himachal Pradesh,RAPE,183
Jammu & Kashmir,RAPE,303
Jharkhand,RAPE,812
Karnataka,RAPE,621
Kerala,RAPE,1019
Madhya Pradesh,RAPE,3425
Maharashtra,RAPE,1839
Manipur,RAPE,63
Meghalaya,RAPE,164
Mizoram,RAPE,103
Nagaland,RAPE,21
Odisha,RAPE,1458
Punjab,RAPE,680
Rajasthan,RAPE,2049
Sikkim,RAPE,34
Tamil Nadu,RAPE,737
Tripura,RAPE,229
Uttar Pradesh,RAPE,1963
Uttarakhand,RAPE,148
West Bengal,RAPE,2046
A&N Islands,RAPE,12
Chandigarh,RAPE,27
D&N Haveli,RAPE,3
Daman & Diu,RAPE,5
Delhi UT,RAPE,706
Lakshadweep,RAPE,0
Puducherry,RAPE,13
All India,RAPE,24923
Andhra Pradesh,KIDNAPPING & ABDUCTION,1403
Arunachal Pradesh,KIDNAPPING & ABDUCTION,58
Assam,KIDNAPPING & ABDUCTION,3360
Bihar,KIDNAPPING & ABDUCTION,3789
Chhattisgarh,KIDNAPPING & ABDUCTION,350
Goa,KIDNAPPING & ABDUCTION,16
Gujarat,KIDNAPPING & ABDUCTION,1527
Haryana,KIDNAPPING & ABDUCTION,900
Himachal Pradesh,KIDNAPPING & ABDUCTION,152
Jammu & Kashmir,KIDNAPPING & ABDUCTION,1041
Jharkhand,KIDNAPPING & ABDUCTION,786
Karnataka,KIDNAPPING & ABDUCTION,1070
Kerala,KIDNAPPING & ABDUCTION,214
Madhya Pradesh,KIDNAPPING & ABDUCTION,1127
Maharashtra,KIDNAPPING & ABDUCTION,1140
Manipur,KIDNAPPING & ABDUCTION,133
Meghalaya,KIDNAPPING & ABDUCTION,24
Mizoram,KIDNAPPING & ABDUCTION,3
Nagaland,KIDNAPPING & ABDUCTION,10
Odisha,KIDNAPPING & ABDUCTION,1364
Punjab,KIDNAPPING & ABDUCTION,689
Rajasthan,KIDNAPPING & ABDUCTION,2697
Sikkim,KIDNAPPING & ABDUCTION,10
Tamil Nadu,KIDNAPPING & ABDUCTION,1693
Tripura,KIDNAPPING & ABDUCTION,114
Uttar Pradesh,KIDNAPPING & ABDUCTION,7910
Uttarakhand,KIDNAPPING & ABDUCTION,256
West Bengal,KIDNAPPING & ABDUCTION,4168
A&N Islands,KIDNAPPING & ABDUCTION,7
Chandigarh,KIDNAPPING & ABDUCTION,66
D&N Haveli,KIDNAPPING & ABDUCTION,9
