States/UTs,Crime Head,2002
Andhra Pradesh,RAPE,1002
Arunachal Pradesh,RAPE,38
Assam,RAPE,970
Bihar,RAPE,1040
Chhattisgarh,RAPE,992
Goa,RAPE,12
Gujarat,RAPE,267
Haryana,RAPE,361
Himachal Pradesh,RAPE,137
Jammu & Kashmir,RAPE,192
Jharkhand,RAPE,797
Karnataka,RAPE,292
Kerala,RAPE,499
Madhya Pradesh,RAPE,2891
Maharashtra,RAPE,1352
Manipur,RAPE,14
Meghalaya,RAPE,38
Mizoram,RAPE,76
Nagaland,RAPE,17
Odisha,RAPE,691
Punjab,RAPE,299
Rajasthan,RAPE,1051
Sikkim,RAPE,6
Tamil Nadu,RAPE,534
Tripura,RAPE,108
Uttar Pradesh,RAPE,1415
Uttarakhand,RAPE,89
West Bengal,RAPE,759
A&N Islands,RAPE,2
Chandigarh,RAPE,18
D&N Haveli,RAPE,4
Daman & Diu,RAPE,0
Delhi UT,RAPE,403
Lakshadweep,RAPE,1
Puducherry,RAPE,6
All India,RAPE,16373
Andhra Pradesh,KIDNAPPING & ABDUCTION,854
Arunachal Pradesh,KIDNAPPING & ABDUCTION,38
Assam,KIDNAPPING & ABDUCTION,1276
Bihar,KIDNAPPING & ABDUCTION,744
Chhattisgarh,KIDNAPPING & ABDUCTION,154
Goa,KIDNAPPING & ABDUCTION,5
Gujarat,KIDNAPPING & ABDUCTION,807
Haryana,KIDNAPPING & ABDUCTION,290
Himachal Pradesh,KIDNAPPING & ABDUCTION,116
Jammu & Kashmir,KIDNAPPING & ABDUCTION,596
Jharkhand,KIDNAPPING & ABDUCTION,178
Karnataka,KIDNAPPING & ABDUCTION,300
Kerala,KIDNAPPING & ABDUCTION,91
Madhya Pradesh,KIDNAPPING & ABDUCTION,639
Maharashtra,KIDNAPPING & ABDUCTION,650
Manipur,KIDNAPPING & ABDUCTION,82
Meghalaya,KIDNAPPING & ABDUCTION,10
Mizoram,KIDNAPPING & ABDUCTION,2
Nagaland,KIDNAPPING & ABDUCTION,4
Odisha,KIDNAPPING & ABDUCTION,432
Punjab,KIDNAPPING & ABDUCTION,354
Rajasthan,KIDNAPPING & ABDUCTION,2019
Sikkim,KIDNAPPING & ABDUCTION,2
Tamil Nadu,KIDNAPPING & ABDUCTION,714
Tripura,KIDNAPPING & ABDUCTION,48
Uttar Pradesh,KIDNAPPING & ABDUCTION,2298
Uttarakhand,KIDNAPPING & ABDUCTION,155
West Bengal,KIDNAPPING & ABDUCTION,694
A&N Islands,KIDNAPPING & ABDUCTION,1
Chandigarh,KIDNAPPING & ABDUCTION,47
D&N Haveli,KIDNAPPING & ABDUCTION,5
Daman & Diu,KIDNAPPING & ABDUCTION,2
Delhi UT,KIDNAPPING & ABDUCTION,893
Lakshadweep,KIDNAPPING & ABDUCTION,0
Puducherry,KIDNAPPING & ABDUCTION,6
ALL INDIA K&A,KIDNAPPING & ABDUCTION,14506
Andhra Pradesh,DOWRY DEATH,449
Arunachal Pradesh,DOWRY DEATH,0
Assam,DOWRY DEATH,70
Bihar,DOWRY DEATH,927
Chhattisgarh,DOWRY DEATH,85
Goa,DOWRY DEATH,2
Gujarat,DOWRY DEATH,62
Haryana,DOWRY DEATH,256
Himachal Pradesh,DOWRY DEATH,6
Jammu & Kashmir,DOWRY DEATH,18
Jharkhand,DOWRY DEATH,275
Karnataka,DOWRY DEATH,233
Kerala,DOWRY DEATH,17
Madhya Pradesh,DOWRY DEATH,674
Maharashtra,DOWRY DEATH,303
Manipur,DOWRY DEATH,0
Meghalaya,DOWRY DEATH,0
Mizoram,DOWRY DEATH,0
Nagaland,DOWRY DEATH,0
Odisha,DOWRY DEATH,248
Punjab,DOWRY DEATH,166
Rajasthan,DOWRY DEATH,399
Sikkim,DOWRY DEATH,0
Tamil Nadu,DOWRY DEATH,243
Tripura,DOWRY DEATH,16
Uttar Pradesh,DOWRY DEATH,1893
Uttarakhand,DOWRY DEATH,66
West Bengal,DOWRY DEATH,273
A&N Islands,DOWRY DEATH,0
Chandigarh,DOWRY DEATH,1
D&N Haveli,DOWRY DEATH,0
Daman & Diu,DOWRY DEATH,0
Delhi UT,DOWRY DEATH,135
Lakshadweep,DOWRY DEATH,0
Puducherry,DOWRY DEATH,5
ALL INDIA,DOWRY DEATH,6822
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3799
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,68
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,984
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,621
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1483
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,18
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,750
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,454
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,326
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,785
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,411
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1648
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2123
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7118
Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2686
Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,58
Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,23
Mizoram,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,73
Nagaland,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1
Odisha,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1605
Punjab,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,341
Rajasthan,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2730
Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,17
Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1877
Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,128
Uttar Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2145
Uttarakhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,145
West Bengal,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,964
A&N Islands,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,17
Chandigarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,36
D&N Haveli,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3
Daman & Diu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0
Delhi UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,446
Lakshadweep,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1
Puducherry,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,59
All India,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,33943
Andhra Pradesh,INSULT TO THE MODESTY OF WOMEN,2024
Arunachal Pradesh,INSULT TO THE MODESTY OF WOMEN,2
Assam,INSULT TO THE MODESTY OF WOMEN,7
Bihar,INSULT TO THE MODESTY OF WOMEN,6
Chhattisgarh,INSULT TO THE MODESTY OF WOMEN,147
Goa,INSULT TO THE MODESTY OF WOMEN,6
Gujarat,INSULT TO THE MODESTY OF WOMEN,104
Haryana,INSULT TO THE MODESTY OF WOMEN,1424
Himachal Pradesh,INSULT TO THE MODESTY OF WOMEN,12
Jammu & Kashmir,INSULT TO THE MODESTY OF WOMEN,368
Jharkhand,INSULT TO THE MODESTY OF WOMEN,3
Karnataka,INSULT TO THE MODESTY OF WOMEN,100
Kerala,INSULT TO THE MODESTY OF WOMEN,102
Madhya Pradesh,INSULT TO THE MODESTY OF WOMEN,783
Maharashtra,INSULT TO THE MODESTY OF WOMEN,769
Manipur,INSULT TO THE MODESTY OF WOMEN,0
Meghalaya,INSULT TO THE MODESTY OF WOMEN,0
Mizoram,INSULT TO THE MODESTY OF WOMEN,0
Nagaland,INSULT TO THE MODESTY OF WOMEN,0
Odisha,INSULT TO THE MODESTY OF WOMEN,188
Punjab,INSULT TO THE MODESTY OF WOMEN,145
Rajasthan,INSULT TO THE MODESTY OF WOMEN,44
Sikkim,INSULT TO THE MODESTY OF WOMEN,0
Tamil Nadu,INSULT TO THE MODESTY OF WOMEN,1718
Tripura,INSULT TO THE MODESTY OF WOMEN,0
Uttar Pradesh,INSULT TO THE MODESTY OF WOMEN,1887
Uttarakhand,INSULT TO THE MODESTY OF WOMEN,97
West Bengal,INSULT TO THE MODESTY OF WOMEN,34
A&N Islands,INSULT TO THE MODESTY OF WOMEN,3
Chandigarh,INSULT TO THE MODESTY OF WOMEN,28
D&N Haveli,INSULT TO THE MODESTY OF WOMEN,0
Daman & Diu,INSULT TO THE MODESTY OF WOMEN,0
Delhi UT,INSULT TO THE MODESTY OF WOMEN,128
Lakshadweep,INSULT TO THE MODESTY OF WOMEN,0
Puducherry,INSULT TO THE MODESTY OF WOMEN,26
All India,INSULT TO THE MODESTY OF WOMEN,10155
Andhra Pradesh,CRUELTY BY HUSBAND OR RELATIVES,7018
Arunachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,13
Assam,CRUELTY BY HUSBAND OR RELATIVES,1694
Bihar,CRUELTY BY HUSBAND OR RELATIVES,1577
